Issue Id,Issue Type,Summary,Description,Parent Id,Epic Code
100,Story,AUTH-US-01 – Inscription d’un nouvel utilisateur,"En tant que visiteur, je veux pouvoir créer un compte utilisateur en renseignant mes informations de base afin d’accéder aux fonctionnalités de la plateforme en tant que client, pâtissière ou livreur.",1,AUTH-1
101,Story,AUTH-US-02 – Connexion avec email et mot de passe,"En tant qu’utilisateur enregistré, je veux pouvoir me connecter avec mon email et mon mot de passe afin d’accéder de façon sécurisée à mon espace personnel.",1,AUTH-1
102,Story,AUTH-US-03 – Déconnexion sécurisée,"En tant qu’utilisateur connecté, je veux pouvoir me déconnecter de la plateforme afin de sécuriser mon compte lorsque je n’utilise plus l’application.",1,AUTH-1
103,Story,AUTH-US-04 – Rafraîchissement du token d’accès,"En tant qu’utilisateur connecté, je veux que ma session reste active sans devoir me reconnecter trop souvent afin d’avoir une expérience fluide tout en gardant la sécurité de mon compte.",1,AUTH-1
104,Story,AUTH-US-05 – Récupération d’un utilisateur par email (interne),"En tant que service backend, je veux pouvoir retrouver un utilisateur à partir de son email afin de vérifier son identité ou ses permissions lors des appels entre microservices.",1,AUTH-1
105,Story,AUTH-US-06 – Récupération de plusieurs utilisateurs par id (interne),"En tant que service backend, je veux pouvoir récupérer plusieurs utilisateurs à partir de leurs identifiants afin de construire des réponses agrégées (commandes, notations, livraisons).",1,AUTH-1
106,Story,AUTH-US-07 – Gestion de la photo de profil,"En tant qu’utilisateur, je veux pouvoir télécharger, mettre à jour ou supprimer ma photo de profil afin de personnaliser mon compte sur la plateforme.",1,AUTH-1
107,Story,AUTH-US-08 – Consultation de mon profil,"En tant qu’utilisateur connecté, je veux pouvoir consulter mon profil (nom, photo, téléphone, ville, adresse, description) afin de vérifier mes informations personnelles.",1,AUTH-1
108,Story,AUTH-US-09 – Mise à jour de mon profil,"En tant qu’utilisateur connecté, je veux pouvoir modifier mes informations de profil (nom, téléphone, adresse, description, photo) afin de garder mes données à jour.",1,AUTH-1
109,Story,AUTH-US-10 – Rechargement de wallet,"En tant que client, je veux pouvoir recharger mon wallet interne afin de payer mes commandes et livraisons plus rapidement sur la plateforme.",1,AUTH-1
110,Story,AUTH-US-11 – Consultation du compte plateforme (interne),"En tant qu’administrateur de la plateforme, je veux pouvoir consulter le compte global de la plateforme afin de suivre les flux financiers et les commissions MaCack.",1,AUTH-1
111,Story,AUTH-US-12 – Débit du wallet utilisateur,"En tant que client, je veux que mon wallet soit débité automatiquement lors de la validation d’une commande ou d’une livraison afin de sécuriser le paiement via la plateforme.",1,AUTH-1
112,Story,AUTH-US-13 – Génération de token d’accès,"En tant que système d’authentification, je veux pouvoir générer un token d’accès sécurisé pour chaque utilisateur connecté afin de protéger les routes et microservices.",1,AUTH-1
113,Story,AUTH-US-14 – Génération de token de rafraîchissement,"En tant que système d’authentification, je veux pouvoir générer un token de rafraîchissement afin de permettre aux utilisateurs de prolonger leur session sans ressaisir leurs identifiants.",1,AUTH-1
114,Story,AUTH-US-15 – Enregistrement du service Auth dans le registre,"En tant qu’administrateur technique, je veux que le service d’authentification s’enregistre automatiquement dans Redis avec son host, port et clé de routage afin de permettre la découverte des services.",1,AUTH-1
115,Story,AUTH-US-16 – Récupération du client Redis Auth,"En tant que développeur backend, je veux pouvoir accéder facilement au client Redis du service Auth afin de gérer le cache et les informations de registre.",1,AUTH-1
116,Story,AUTH-US-17 – Initialisation de la connexion S3,"En tant qu’administrateur technique, je veux que le service S3 Auth initialise correctement la connexion au bucket afin que le stockage des images de profil soit fiable.",1,AUTH-1
117,Story,AUTH-US-18 – Upload d’image de profil sur S3,"En tant qu’utilisateur, je veux que ma photo de profil soit stockée de manière sécurisée sur le cloud afin qu’elle soit disponible sur tous mes appareils.",1,AUTH-1
118,Story,AUTH-US-19 – Suppression d’un objet S3 par clé,"En tant qu’administrateur technique, je veux pouvoir supprimer un fichier stocké sur S3 à partir de sa clé afin de gérer le nettoyage et le respect de la vie privée.",1,AUTH-1
119,Story,AUTH-US-20 – Suppression d’un objet S3 par chemin stocké,"En tant que système, je veux pouvoir supprimer une image de profil à partir de son chemin stocké dans la base de données afin de garder la cohérence entre les données et le stockage.",1,AUTH-1
120,Story,ORDER-US-01 – Création d’une commande client,"En tant que client, je veux pouvoir créer une commande de gâteau personnalisée (choix du gâteau, couleurs, garniture, message, date et heure) afin de passer ma demande à une pâtissière.",2,ORDER-1
121,Story,ORDER-US-02 – Liste de mes commandes,"En tant qu’utilisateur (client, pâtissière ou livreur), je veux pouvoir consulter la liste de mes commandes en fonction de mon rôle afin de suivre mon activité sur la plateforme.",2,ORDER-1
122,Story,ORDER-US-03 – Liste des commandes pour une pâtissière,"En tant que pâtissière, je veux pouvoir voir toutes les commandes qui me sont destinées afin d’organiser ma production.",2,ORDER-1
123,Story,ORDER-US-04 – Acceptation d’une commande par la pâtissière,"En tant que pâtissière, je veux pouvoir accepter une commande de gâteau afin de confirmer au client que je prendrai sa commande en charge.",2,ORDER-1
124,Story,ORDER-US-05 – Finalisation d’une commande par la pâtissière,"En tant que pâtissière, je veux pouvoir marquer une commande comme terminée afin d’indiquer que le gâteau est prêt à être livré.",2,ORDER-1
125,Story,ORDER-US-06 – Consultation détaillée d’une commande,"En tant qu’utilisateur associé à une commande, je veux pouvoir consulter le détail complet de la commande afin de vérifier les informations avant préparation ou livraison.",2,ORDER-1
126,Story,ORDER-US-07 – Marquer la commande comme payée,"En tant que système de paiement, je veux pouvoir marquer une commande comme payée une fois le paiement validé afin de déclencher la préparation et la livraison.",2,ORDER-1
127,Story,ORDER-US-08 – Confirmation de livraison par le client,"En tant que client, je veux pouvoir marquer la commande comme livrée afin de déclencher le versement des gains à la pâtissière et au livreur.",2,ORDER-1
128,Story,ORDER-US-09 – Accès interne à une commande par id,"En tant que microservice interne, je veux pouvoir récupérer une commande par son identifiant afin de synchroniser les informations avec les autres services (paiement, notation, livraison).",2,ORDER-1
129,Story,ORDER-US-10 – Accès interne à une commande avec ses items,"En tant que microservice interne, je veux pouvoir récupérer une commande avec tous ses items afin de calculer correctement les montants, commissions et statistiques.",2,ORDER-1
130,Story,ORDER-US-11 – Marquer la commande comme livrée par le livreur,"En tant que livreur, je veux pouvoir marquer une commande comme livrée afin d’indiquer que la livraison a été effectuée.",2,ORDER-1
131,Story,ORDER-US-12 – Démarrer une livraison,"En tant que livreur, je veux pouvoir démarrer officiellement la livraison d’une commande afin que le client et la pâtissière puissent suivre le statut en temps réel.",2,ORDER-1
132,Story,ORDER-US-13 – Suppression d’une commande (interne / admin),"En tant qu’administrateur ou service interne, je veux pouvoir supprimer une commande dans certains cas (tests, données invalides, litiges résolus) afin de garder une base de données propre.",2,ORDER-1
133,Story,ORDER-US-14 – Création d’une estimation de livraison par le client,"En tant que client, je veux pouvoir créer une estimation de livraison pour ma commande afin d’obtenir une proposition de prix d’un ou plusieurs livreurs.",2,ORDER-1
134,Story,ORDER-US-15 – Création d’une estimation de livraison par un livreur,"En tant que livreur, je veux pouvoir proposer un prix de livraison pour une commande afin de négocier ma rémunération avec le client.",2,ORDER-1
135,Story,ORDER-US-16 – Confirmation d’une estimation par le client,"En tant que client, je veux pouvoir confirmer une estimation de livraison proposée afin de valider définitivement le prix de la course.",2,ORDER-1
136,Story,ORDER-US-17 – Marquer une estimation comme payée,"En tant que système de paiement, je veux pouvoir marquer une estimation comme payée afin de sécuriser le montant de la livraison avant le début de la course.",2,ORDER-1
137,Story,ORDER-US-18 – Consultation des estimations acceptées par un livreur,"En tant que livreur, je veux pouvoir consulter les estimations qui ont été acceptées par les clients afin de planifier mes livraisons.",2,ORDER-1
138,Story,ORDER-US-19 – Consultation des estimations en attente / estimées,"En tant que livreur, je veux pouvoir voir les estimations en attente, estimées ou livrées afin de suivre l’état de mes propositions de prix.",2,ORDER-1
139,Story,ORDER-US-20 – Recherche d’une estimation par id ou par commande,"En tant que système, je veux pouvoir retrouver une estimation à partir de son identifiant ou de celui de la commande afin de synchroniser les informations entre services.",2,ORDER-1
140,Story,ORDER-US-21 – Acceptation d’une offre de livraison par le client,"En tant que client, je veux pouvoir accepter une offre de livraison spécifique d’un livreur afin de finaliser mon choix et bloquer ce livreur pour ma commande.",2,ORDER-1
141,Story,ORDER-US-22 – Liste des estimations client en attente,"En tant qu’administrateur ou service interne, je veux pouvoir voir toutes les estimations client en attente afin de monitorer l’activité et détecter les blocages potentiels.",2,ORDER-1
142,Story,ORDER-US-23 – Gestion des items de commande,"En tant que système de commandes, je veux pouvoir créer, lire, mettre à jour et supprimer des items de commande afin de décomposer chaque commande en éléments détaillés (type de gâteau, options, quantités).",2,ORDER-1
143,Story,ORDER-US-24 – Enregistrement du service Orders dans le registre,"En tant qu’administrateur technique, je veux que le service de commandes s’enregistre automatiquement dans Redis afin de permettre la découverte et la haute disponibilité des microservices.",2,ORDER-1
144,Story,ORDER-US-25 – Accès au client Redis Orders,"En tant que développeur backend, je veux pouvoir utiliser facilement le client Redis du service Orders afin de gérer le cache, la file d’attente et la communication entre services.",2,ORDER-1
145,Story,PAY-US-01 – Enregistrement du service Payment dans le registre,"En tant qu’administrateur technique, je veux que le service de paiement s’enregistre dans Redis avec ses informations afin de garantir sa découverte par les autres microservices.",3,PAY-1
146,Story,PAY-US-02 – Accès au client Redis Payment,"En tant que développeur backend, je veux pouvoir accéder au client Redis du service Payment afin de gérer les transactions, le cache et les événements liés au paiement.",3,PAY-1
147,Story,PAY-US-03 – Gestion de l’escrow et des commissions (côté métier),"En tant que client, je veux que mon paiement soit bloqué de manière sécurisée jusqu’à la livraison afin de protéger à la fois mes intérêts et ceux de la pâtissière et du livreur, tout en laissant la plateforme appliquer sa commission.",3,PAY-1
148,Story,RATE-US-01 – Création d’une note,"En tant que client, je veux pouvoir attribuer une note à une pâtissière ou à un livreur après une commande afin de partager mon niveau de satisfaction.",4,RATE-1
149,Story,RATE-US-02 – Consultation des notes d’un utilisateur,"En tant qu’utilisateur, je veux pouvoir voir les notes qu’un client a laissées à une pâtissière ou à un livreur afin d’évaluer sa fiabilité avant de collaborer avec lui.",4,RATE-1
150,Story,RATE-US-03 – Consultation des notes d’un produit,"En tant que client, je veux pouvoir consulter les notes d’un gâteau spécifique afin de choisir un produit de qualité.",4,RATE-1
151,Story,RATE-US-04 – Calcul de la note moyenne pour un utilisateur,"En tant que système, je veux pouvoir calculer la note moyenne d’un utilisateur afin d’afficher un score global simple (étoiles) sur son profil.",4,RATE-1
152,Story,RATE-US-05 – Calcul de la note moyenne pour plusieurs utilisateurs,"En tant que système, je veux pouvoir calculer les notes moyennes pour un ensemble d’utilisateurs afin d’optimiser les affichages de listes (recherche, suggestions).",4,RATE-1
153,Story,RATE-US-06 – Suppression d’une note,"En tant qu’administrateur, je veux pouvoir supprimer une note inappropriée ou abusive afin de préserver l’équité du système de notation.",4,RATE-1
154,Story,RATE-US-07 – Like / Unlike d’un produit,"En tant que client, je veux pouvoir aimer ou ne plus aimer un produit (gâteau) afin d’exprimer mon intérêt et de le retrouver plus facilement.",4,RATE-1
155,Story,RATE-US-08 – Compteur de likes d’un produit,"En tant que client, je veux voir le nombre de likes d’un produit afin de juger sa popularité.",4,RATE-1
156,Story,RATE-US-09 – Compteur de likes pour plusieurs produits,"En tant que système, je veux pouvoir obtenir le nombre de likes pour une liste de produits afin d’afficher cette information dans les listes et les résultats de recherche.",4,RATE-1
157,Story,RATE-US-10 – Vérifier si un utilisateur a liké un produit,"En tant que client, je veux savoir si j’ai déjà liké un produit afin de ne pas ajouter un like en double et de pouvoir faire un unlike.",4,RATE-1
158,Story,RATE-US-11 – Liste des produits likés par un utilisateur,"En tant que client, je veux pouvoir voir tous les produits que j’ai likés afin de retrouver rapidement mes gâteaux préférés.",4,RATE-1
159,Story,RATE-US-12 – Récupération des ids des utilisateurs qui ont liké plusieurs produits,"En tant que système, je veux pouvoir récupérer les identifiants des utilisateurs qui ont liké plusieurs produits afin de faire des statistiques et des recommandations.",4,RATE-1
160,Story,RATE-US-13 – Suivre / ne plus suivre une pâtissière,"En tant que client, je veux pouvoir suivre ou ne plus suivre une pâtissière afin d’être informé de ses nouvelles publications et promotions.",4,RATE-1
161,Story,RATE-US-14 – Liste des followers d’une pâtissière,"En tant que pâtissière, je veux pouvoir voir la liste de mes followers afin de mieux connaître ma communauté.",4,RATE-1
162,Story,RATE-US-15 – Compteur de followers d’une pâtissière,"En tant que pâtissière, je veux voir le nombre de mes followers afin de mesurer ma popularité sur la plateforme.",4,RATE-1
163,Story,RATE-US-16 – Vérifier si un client suit une pâtissière,"En tant que client, je veux savoir si je suis déjà une pâtissière afin de gérer facilement mes abonnements.",4,RATE-1
164,Story,RATE-US-17 – Like / Unlike du profil d’une pâtissière,"En tant que client, je veux pouvoir aimer ou ne plus aimer le profil d’une pâtissière afin d’exprimer mon appréciation globale de son travail.",4,RATE-1
165,Story,RATE-US-18 – Compteur de likes d’un profil,"En tant que pâtissière, je veux voir le nombre de likes sur mon profil afin de mesurer l’intérêt des clients pour mon activité.",4,RATE-1
166,Story,RATE-US-19 – Vérifier si un utilisateur a liké un profil,"En tant que client, je veux savoir si j’ai déjà liké le profil d’une pâtissière afin de gérer facilement mes interactions.",4,RATE-1
167,Story,RATE-US-20 – Enregistrement du service Notation dans le registre,"En tant qu’administrateur technique, je veux que le service de notation s’enregistre automatiquement dans Redis afin d’assurer sa découverte par les autres microservices.",4,RATE-1
168,Story,RATE-US-21 – Accès au client Redis Notation,"En tant que développeur backend, je veux pouvoir accéder au client Redis du service Notation afin de gérer le cache et la performance des opérations de notation, likes et followers.",4,RATE-1
169,Story,FRONT-AUTH-US-01 – Écran de connexion MaCake,"En tant qu’utilisateur, je veux un écran de connexion simple et esthétique avec email et mot de passe pour accéder rapidement à mon compte MaCake.",5,FRONT-AUTH-1
170,Story,FRONT-AUTH-US-02 – Validation côté client sur le formulaire de connexion,"En tant qu’utilisateur, je veux être informé immédiatement si mon email ou mon mot de passe ne sont pas valides afin de corriger mes informations avant l’envoi.",5,FRONT-AUTH-1
171,Story,FRONT-AUTH-US-03 – Gestion des états de chargement et d’erreurs à la connexion,"En tant qu’utilisateur, je veux voir un indicateur de chargement et des messages d’erreur clairs lorsque je me connecte afin de comprendre ce qui se passe en cas de problème.",5,FRONT-AUTH-1
172,Story,FRONT-AUTH-US-04 – Navigation vers l’inscription depuis la connexion,"En tant que nouveau visiteur, je veux pouvoir accéder facilement à l’écran d’inscription depuis l’écran de connexion afin de créer un compte si je n’en ai pas.",5,FRONT-AUTH-1
173,Story,FRONT-AUTH-US-05 – Flow d’inscription en plusieurs étapes,"En tant que nouveau visiteur, je veux un flow d’inscription en plusieurs étapes (choix du rôle puis détails du compte) afin de créer mon compte client, pâtissière ou livreur de manière guidée.",5,FRONT-AUTH-1
174,Story,"FRONT-AUTH-US-06 – Sélection du rôle (client, pâtissière, livreur)","En tant que nouveau visiteur, je veux pouvoir choisir mon rôle (client, pâtissière ou livreur) pendant l’inscription afin d’avoir une expérience adaptée à mon profil.",5,FRONT-AUTH-1
175,Story,FRONT-AUTH-US-07 – Saisie des informations de compte (profil + coordonnées),"En tant que nouveau visiteur, je veux saisir mon nom, email, mot de passe, téléphone et adresse afin de créer un compte complet prêt à l’utilisation.",5,FRONT-AUTH-1
176,Story,FRONT-AUTH-US-08 – Indication visuelle d’avancement dans l’inscription,"En tant que nouveau visiteur, je veux voir la progression de mon inscription (étapes, indicateur) afin de savoir où j’en suis dans le processus.",5,FRONT-AUTH-1
177,Story,FRONT-AUTH-US-09 – Redirection automatique après inscription/réauthentification,"En tant que nouvel utilisateur, je veux être redirigé automatiquement vers l’accueil adapté à mon rôle après mon inscription ou ma connexion afin de commencer à utiliser la plateforme sans friction.",5,FRONT-AUTH-1
178,Story,FRONT-CLIENT-US-01 – Écran d’accueil client avec header MaCake,"En tant que client, je veux un écran d’accueil avec une barre supérieure claire (logo, menu, avatar) afin de reconnaître facilement la marque MaCake et accéder aux actions principales.",6,FRONT-CLIENT-1
179,Story,FRONT-CLIENT-US-02 – Recherche de gâteaux par mots-clés,"En tant que client, je veux pouvoir rechercher des gâteaux par texte (nom, type, description) afin de trouver rapidement un produit correspondant à mon besoin.",6,FRONT-CLIENT-1
180,Story,FRONT-CLIENT-US-03 – Filtrage par catégories visuelles,"En tant que client, je veux filtrer les gâteaux par catégories (Anniversaire, Mariage, Chocolat, Enfants, etc.) afin de parcourir des listes adaptées à mon contexte.",6,FRONT-CLIENT-1
181,Story,FRONT-CLIENT-US-04 – Section “Featured Masterpieces”,"En tant que client, je veux voir une section de gâteaux mis en avant avec de belles images afin d’être inspiré et découvrir des créations premium.",6,FRONT-CLIENT-1
182,Story,FRONT-CLIENT-US-05 – Section “Trending Near You” alimentée par l’API,"En tant que client, je veux voir une liste de gâteaux populaires près de chez moi, alimentée par le backend, afin de choisir parmi les produits les plus appréciés.",6,FRONT-CLIENT-1
183,Story,"FRONT-CLIENT-US-06 – Carte produit détaillée (image, prix, lieu, pâtissière, note)","En tant que client, je veux voir pour chaque produit une carte avec image, prix, lieu, nom de la pâtissière, likes et note moyenne afin de décider rapidement quel gâteau sélectionner.",6,FRONT-CLIENT-1
184,Story,FRONT-CLIENT-US-07 – Gestion du like produit côté client,"En tant que client, je veux pouvoir liker ou enlever mon like sur un gâteau directement depuis la liste afin de sauvegarder mes favoris et influencer la popularité.",6,FRONT-CLIENT-1
185,Story,FRONT-CLIENT-US-08 – Redirection vers le détail d’un produit,"En tant que client, je veux pouvoir cliquer sur un produit pour accéder à une page de détail afin de voir toutes les informations avant de personnaliser et commander.",6,FRONT-CLIENT-1
186,Story,FRONT-CLIENT-US-09 – Accès rapide au profil de la pâtissière depuis un produit,"En tant que client, je veux pouvoir ouvrir le profil d’une pâtissière depuis une carte produit afin de voir sa note globale, ses autres gâteaux et sa réputation.",6,FRONT-CLIENT-1
187,Story,FRONT-CLIENT-US-10 – Ouverture du menu latéral (sidebar),"En tant que client, je veux pouvoir ouvrir un menu latéral depuis l’accueil afin d’accéder facilement à mes commandes, favoris, paramètres et déconnexion.",6,FRONT-CLIENT-1
188,Story,FRONT-CLIENT-US-11 – Popup de profil utilisateur,"En tant que client, je veux voir un popup de profil lorsque je clique sur mon avatar afin d’accéder rapidement à mon espace profil, mes paramètres ou ma déconnexion.",6,FRONT-CLIENT-1
189,Story,FRONT-CLIENT-US-12 – Gestion de l’état de chargement et des erreurs produits,"En tant que client, je veux voir des indicateurs de chargement et des messages d’erreur en cas de problème lors du chargement des produits afin de comprendre la situation.",6,FRONT-CLIENT-1
190,Story,FRONT-CLIENT-US-13 – Affichage d’un message “aucun produit”,"En tant que client, je veux être informé clairement lorsqu’aucun produit n’est disponible dans la catégorie ou la recherche afin d’ajuster mes filtres ou mes mots-clés.",6,FRONT-CLIENT-1
191,Story,FRONT-CLIENT-US-14 – Écran de détail produit avec personnalisation de commande,"En tant que client, je veux un écran de détail pour chaque gâteau me permettant de choisir la taille, les couleurs, la garniture et un message personnalisé afin de créer une commande sur mesure.",7,FRONT-CLIENT-2
192,Story,FRONT-CLIENT-US-15 – Ajout au panier depuis le détail produit,"En tant que client, je veux pouvoir ajouter un produit personnalisé à mon panier afin de préparer ma commande avant validation finale.",7,FRONT-CLIENT-2
193,Story,"FRONT-CLIENT-US-16 – Gestion du panier client (liste, modification, suppression)","En tant que client, je veux voir la liste des articles dans mon panier, modifier les quantités ou supprimer des éléments afin de finaliser ma commande selon mon budget.",7,FRONT-CLIENT-2
194,Story,FRONT-CLIENT-US-17 – Écran de checkout avec récapitulatif,"En tant que client, je veux un écran de checkout qui récapitule les produits, options, prix et frais de livraison estimés afin de valider ma commande en toute confiance.",7,FRONT-CLIENT-2
195,Story,FRONT-CLIENT-US-18 – Écran de paiement et confirmation visuelle,"En tant que client, je veux un écran de paiement avec un retour visuel clair (succès/échec) afin de savoir si mon paiement a bien été pris en compte.",7,FRONT-CLIENT-2
196,Story,FRONT-CLIENT-US-19 – Animation de succès de commande,"En tant que client, je veux voir une animation ou un écran de succès après avoir passé ma commande afin d’avoir un feedback positif et rassurant.",7,FRONT-CLIENT-2
197,Story,FRONT-CLIENT-US-20 – Onglet “Mes commandes” pour le client,"En tant que client, je veux un onglet listant toutes mes commandes avec leurs statuts (en attente, acceptée, en préparation, en livraison, livrée) afin de suivre l’avancement en temps réel.",8,FRONT-CLIENT-3
198,Story,FRONT-CLIENT-US-21 – Détail d’une commande avec statut et timeline,"En tant que client, je veux un écran de détail de commande affichant les statuts successifs et les informations de livraison afin de comprendre où en est ma commande.",8,FRONT-CLIENT-3
199,Story,FRONT-CLIENT-US-22 – Évaluation de la pâtissière et du livreur,"En tant que client, je veux pouvoir noter la pâtissière et le livreur à la fin d’une commande afin de contribuer à la réputation de chacun.",8,FRONT-CLIENT-3
200,Story,FRONT-CLIENT-US-23 – Gestion des favoris (produits aimés),"En tant que client, je veux un onglet “Favoris” qui regroupe les produits que j’ai likés afin de les retrouver et commander plus facilement.",8,FRONT-CLIENT-3
201,Story,FRONT-CLIENT-US-24 – Consultation et utilisation du wallet client,"En tant que client, je veux un onglet ou une section pour voir mon solde wallet, mes recharges et mes paiements afin de gérer mes dépenses sur MaCake.",8,FRONT-CLIENT-3
202,Story,FRONT-PATISSIERE-US-01 – Accueil pâtissière avec résumé de performance,"En tant que pâtissière, je veux un écran d’accueil dédié avec un résumé de mes commandes, revenus et note moyenne afin de suivre facilement mes performances.",9,FRONT-PATISSIERE-1
203,Story,FRONT-PATISSIERE-US-02 – Gestion de mes produits (liste),"En tant que pâtissière, je veux voir la liste de tous mes gâteaux publiés afin de pouvoir les mettre à jour ou les supprimer.",9,FRONT-PATISSIERE-1
204,Story,FRONT-PATISSIERE-US-03 – Création d’un nouveau produit,"En tant que pâtissière, je veux un écran pour créer un nouveau gâteau avec images, prix, description et options de personnalisation afin de proposer mes créations aux clients.",9,FRONT-PATISSIERE-1
205,Story,FRONT-PATISSIERE-US-04 – Modification et suppression d’un produit existant,"En tant que pâtissière, je veux pouvoir modifier ou supprimer un produit existant afin de garder mon catalogue à jour.",9,FRONT-PATISSIERE-1
206,Story,FRONT-PATISSIERE-US-05 – Consultation des commandes reçues,"En tant que pâtissière, je veux un écran listant mes commandes reçues avec leurs statuts afin d’organiser ma production.",9,FRONT-PATISSIERE-1
207,Story,FRONT-PATISSIERE-US-06 – Acceptation ou refus d’une commande,"En tant que pâtissière, je veux pouvoir accepter ou refuser une commande depuis l’interface afin de gérer ma capacité de production.",9,FRONT-PATISSIERE-1
208,Story,FRONT-PATISSIERE-US-07 – Mise à jour du statut de préparation,"En tant que pâtissière, je veux pouvoir marquer une commande comme “en préparation” puis “prête” afin d’informer le client et les livreurs.",9,FRONT-PATISSIERE-1
209,Story,FRONT-PATISSIERE-US-08 – Accès à mon profil public et à mes followers,"En tant que pâtissière, je veux pouvoir consulter mon profil public tel que vu par les clients, avec mes notes, followers et likes afin de suivre ma réputation.",9,FRONT-PATISSIERE-1
210,Story,FRONT-PATISSIERE-US-09 – Historique de gains et retraits,"En tant que pâtissière, je veux voir l’historique de mes gains et retraits afin de suivre mes revenus générés via MaCake.",9,FRONT-PATISSIERE-1
211,Story,FRONT-LIVREUR-US-01 – Accueil livreur avec overview des livraisons,"En tant que livreur, je veux un écran d’accueil dédié avec une vue rapide sur mes livraisons du jour, en cours et terminées afin d’organiser ma journée.",10,FRONT-LIVREUR-1
212,Story,FRONT-LIVREUR-US-02 – Liste des commandes disponibles à livrer,"En tant que livreur, je veux voir une liste des commandes prêtes à être livrées afin de choisir celles que je souhaite prendre.",10,FRONT-LIVREUR-1
213,Story,FRONT-LIVREUR-US-03 – Proposition de prix de livraison,"En tant que livreur, je veux pouvoir proposer un prix de livraison pour une commande depuis l’interface afin de négocier ma rémunération avec le client.",10,FRONT-LIVREUR-1
214,Story,FRONT-LIVREUR-US-04 – Suivi des livraisons en cours,"En tant que livreur, je veux voir mes livraisons en cours avec les points de départ et d’arrivée afin de suivre mon itinéraire.",10,FRONT-LIVREUR-1
215,Story,FRONT-LIVREUR-US-05 – Mise à jour du statut de livraison,"En tant que livreur, je veux pouvoir mettre à jour le statut d’une livraison (en cours, livrée) afin que le client et la pâtissière soient informés en temps réel.",10,FRONT-LIVREUR-1
216,Story,FRONT-LIVREUR-US-06 – Consultation des gains par course,"En tant que livreur, je veux voir le détail de mes gains par course et mon solde global afin de suivre mes revenus.",10,FRONT-LIVREUR-1
217,Story,FRONT-LIVREUR-US-07 – Gestion du profil livreur,"En tant que livreur, je veux pouvoir gérer mon profil (photo, ville, description) afin de donner confiance aux clients et pâtissières.",10,FRONT-LIVREUR-1
218,Story,FRONT-COMMON-US-01 – Navigation par onglets avec animations,"En tant qu’utilisateur, je veux une navigation par onglets fluide et animée afin de passer facilement entre les sections principales de l’application.",11,FRONT-COMMON-1
219,Story,FRONT-COMMON-US-02 – Layouts séparés par rôle,"En tant qu’utilisateur, je veux que l’interface s’adapte à mon rôle (client, pâtissière, livreur) afin de ne voir que les fonctionnalités pertinentes pour moi.",11,FRONT-COMMON-1
220,Story,FRONT-COMMON-US-03 – Écran de profil utilisateur,"En tant qu’utilisateur, je veux un écran de profil où je peux voir et modifier mes informations (photo, nom, description, ville) afin de gérer mon identité sur MaCake.",11,FRONT-COMMON-1
221,Story,FRONT-COMMON-US-04 – Écran de paramètres,"En tant qu’utilisateur, je veux un écran de paramètres regroupant les options de compte, notifications et sécurité afin de configurer la plateforme selon mes préférences.",11,FRONT-COMMON-1
222,Story,FRONT-COMMON-US-05 – Splash screen et transition de démarrage,"En tant qu’utilisateur, je veux un écran de démarrage agréable pendant le chargement initial de l’application afin d’avoir une première impression professionnelle.",11,FRONT-COMMON-1
